timestamp,ecg_measurement
247516000,5.5975
247520000,5.59875
247524000,5.59875
247528000,5.595
247532000,5.59875
247536000,5.5975
247540000,5.5925
247544000,5.5875
247548000,5.58625
247552000,5.58125
247556000,5.57125
247560000,5.5625
247564000,5.55625
247568000,5.5575
247572000,5.55
247576000,5.53125
247580000,5.5175
247584000,5.51375
247588000,5.51375
247592000,5.515
247596000,5.5125
247600000,5.51125
247604000,5.505
247608000,5.5075
247612000,5.5175
247616000,5.52375
247620000,5.515
247624000,5.51375
247628000,5.52125
247632000,5.52625
247636000,5.52625
247640000,5.53
247644000,5.5275
247648000,5.5325
247652000,5.535
247656000,5.535
247660000,5.53
247664000,5.53125
247668000,5.53375
247672000,5.53375
247676000,5.53625
247680000,5.53875
247684000,5.54375
247688000,5.54125
247692000,5.53875
247696000,5.53625
247700000,5.5325
247704000,5.5325
247708000,5.53625
247712000,5.535
247716000,5.54
247720000,5.53875
247724000,5.53625
247728000,5.5375
247732000,5.54125
247736000,5.53625
247740000,5.53875
247744000,5.5425
247748000,5.54875
247752000,5.54875
247756000,5.5425
247760000,5.54125
247764000,5.53625
247768000,5.5275
247772000,5.525
247776000,5.52875
247780000,5.5275
247784000,5.52625
247788000,5.52875
247792000,5.53375
247796000,5.5375
247800000,5.54
247804000,5.54
247808000,5.54
247812000,5.53875
247816000,5.54375
247820000,5.54375
247824000,5.54125
247828000,5.5525
247832000,5.56375
247836000,5.57375
247840000,5.585
247844000,5.5975
247848000,5.605
247852000,5.61125
247856000,5.60875
247860000,5.595
247864000,5.575
247868000,5.5625
247872000,5.55375
247876000,5.54
247880000,5.53875
247884000,5.54
247888000,5.54
247892000,5.53625
247896000,5.54
247900000,5.5375
247904000,5.5325
247908000,5.53125
247912000,5.53
247916000,5.53125
247920000,5.5375
247924000,5.53625
247928000,5.53625
247932000,5.53625
247936000,5.5375
247940000,5.5375
247944000,5.53625
247948000,5.53375
247952000,5.545
247956000,5.59125
247960000,5.68
247964000,5.8075
247968000,5.93375
247972000,6.04875
247976000,6.1375
247980000,6.13875
247984000,6.0625
247988000,5.9375
247992000,5.81375
247996000,5.71375
248000000,5.65375
248004000,5.62375
248008000,5.605
248012000,5.585
248016000,5.5625
248020000,5.54
248024000,5.52375
248028000,5.525
248032000,5.52875
248036000,5.53125
248040000,5.52875
248044000,5.535
248048000,5.535
248052000,5.53625
248056000,5.525
248060000,5.5325
248064000,5.53
248068000,5.53375
248072000,5.54375
248076000,5.54375
